"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2015";"Réalisation.2016";"Prévision.2017.PAP.2017";"Prévision.2017.PAP.2018";"Réalisation.2017";"Année.cible";"Valeur.cible";"Degré.de.réalisation";"Code.Ministère";"Ministère"
"Budget général";"Agriculture, alimentation, forêt et affaires rurales";"P215";"Conduite et pilotage des politiques de l'agriculture";"92";"P215.3";"Mettre en oeuvre les actions ministérielles dans des conditions optimales de coût et de qualité de service";"12309";"P215.3.4";"Respect des coûts et délais des grands projets";"Contribuable";"";"X";"24000";"Taux d'écart calendaire agrégé des projets informatiques";"";"";"SSI Documenté";"%";"NC";"18,34";"0";"20,71";"21,89";"2017";"0";"Absence d'amélioration";"MIN03";"Agriculture, agroalimentaire et forêt"
"Budget général";"Agriculture, alimentation, forêt et affaires rurales";"P215";"Conduite et pilotage des politiques de l'agriculture";"92";"P215.3";"Mettre en oeuvre les actions ministérielles dans des conditions optimales de coût et de qualité de service";"12309";"P215.3.4";"Respect des coûts et délais des grands projets";"Contribuable";"";"X";"24001";"Taux d'écart budgétaire agrégé des projets informatiques";"";"";"SSI Documenté";"%";"NC";"29,6";"0";"26,92";"29,1";"2017";"0";"Absence d'amélioration";"MIN03";"Agriculture, agroalimentaire et forêt"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"12367";"MAD.1 (P209.3)";"Renforcer les partenariats, mettre en oeuvre les partenariats différenciés et promouvoir nos priorités géographiques";"14454";"P209.3.2";"Concentration des subventions";"Citoyen";"Stratégique mission";"";"23575";"Part des subventions de l'AFD aux pays pauvres prioritaires";"";"";"SSI Documenté";"%";"69";"74";">67";">67";"76";"2017";">67";"Cible atteinte";"";""
"Budget général";"Aide publique au développement";"P110";"Aide économique et financière au développement";"101";"P110.1";"Faire valoir les priorités stratégiques françaises au sein des banques et fonds multilatéraux";"102";"P110.1.1";"Part des ressources subventionnées des banques multilatérales de développement et des fonds multilatéraux qui sont affectées aux zones géographiques prioritaires";"Contribuable";"";"";"102";"Afrique subsaharienne";"";"";"SSI Documenté";"%";"58";"62";"56";"57";"58";"2017";"57";"Cible atteinte";"MIN07";"Économie et finances"
"Budget général";"Aide publique au développement";"P110";"Aide économique et financière au développement";"101";"P110.1";"Faire valoir les priorités stratégiques françaises au sein des banques et fonds multilatéraux";"102";"P110.1.1";"Part des ressources subventionnées des banques multilatérales de développement et des fonds multilatéraux qui sont affectées aux zones géographiques prioritaires";"Contribuable";"";"";"4860";"PMA";"";"";"SSI Documenté";"%";"58";"64";"60";"74";"74";"2017";"60";"Cible atteinte";"MIN07";"Économie et finances"
"Budget général";"Aide publique au développement";"P110";"Aide économique et financière au développement";"107";"P110.2";"Assurer une gestion efficace et rigoureuse des crédits octroyés à l'aide au développement";"105";"P110.2.1";"Montant d'aide au développement apportée par l'AFD sous forme de prêt par euro de subvention de l'Etat";"Contribuable";"";"";"8239";"Montant d'aide au développement apportée par l'AFD sous forme de prêt par euro de subvention de l'Etat";"";"";"SSI Documenté";"€";"14,8";"13,5";"12";"12";"14,9";"2017";"12";"Cible atteinte";"MIN07";"Économie et finances"
"Budget général";"Aide publique au développement";"P110";"Aide économique et financière au développement";"107";"P110.2";"Assurer une gestion efficace et rigoureuse des crédits octroyés à l'aide au développement";"4481";"P110.2.2";"Capacité de l'AFD et de la Banque mondiale à mener avec succès des projets compatibles avec la réalisation de leurs objectifs de développement";"Contribuable";"";"";"6330";"Part des projets de l'AFD qui sont jugés au moins satisfaisants dans la réalisation de leurs objectifs de développement";"";"";"SSI Documenté";"%";"89";"88";"85";"85";"92";"2017";"> 85";"Cible atteinte";"MIN07";"Économie et finances"
"Budget général";"Aide publique au développement";"P110";"Aide économique et financière au développement";"107";"P110.2";"Assurer une gestion efficace et rigoureuse des crédits octroyés à l'aide au développement";"4481";"P110.2.2";"Capacité de l'AFD et de la Banque mondiale à mener avec succès des projets compatibles avec la réalisation de leurs objectifs de développement";"Contribuable";"";"";"7233";"Part des projets de la Banque mondiale qui sont jugés au moins satisfaisants dans la réalisation de leurs objectifs de développement";"";"";"SSI Documenté";"%";"77";"70,4";"80";"72,8";"74";"2017";"80";"Cible atteinte";"MIN07";"Économie et finances"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"10602";"P209.1";"Lutter contre la pauvreté et réduire les inégalités";"11372";"P209.1.1";"Lutter contre la pauvreté et réduire les inégalités";"Citoyen";"";"";"13155";"1. Part des engagements du FED sur l'agriculture durable et la sécurité alimentaire";"";"(libellé modifié)";"SSI Documenté";"%";"14";"21,15";">16*";"12";"17,85*";"2017";"16";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"10602";"P209.1";"Lutter contre la pauvreté et réduire les inégalités";"11372";"P209.1.1";"Lutter contre la pauvreté et réduire les inégalités";"Citoyen";"";"";"23135";"2. Part des engagements du FED dans les pays pauvres prioritaires";"";"";"SSI Documenté";"%";"21,71";"32,85";"<20*";"20";"22,86*";"2017";"30";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"10602";"P209.1";"Lutter contre la pauvreté et réduire les inégalités";"11372";"P209.1.1";"Lutter contre la pauvreté et réduire les inégalités";"Citoyen";"";"";"17880";"3. Part des projets de l'AFD ayant fait l'objet d'un rapport d'achèvement de projets dans les 12 mois, bénéficiant d'une notation qualité au moins satisfaisante";"";"";"SSI Documenté";"%";"89";"88";">85**";"85";"92";"2017";">85";"Amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"10602";"P209.1";"Lutter contre la pauvreté et réduire les inégalités";"11372";"P209.1.1";"Lutter contre la pauvreté et réduire les inégalités";"Citoyen";"";"";"23136";"4. Part des autorisations d'engagement de l'AFD en subventions et en prêts dans les Etats étrangers ayant un objectif genre";"";"";"SSI Documenté";"%";"41,5";"52";">50";"50";"46,5";"2017";">50";"Absence d'amélioration";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"11616";"P209.2";"Promouvoir l'Agenda du développement durable";"11374";"P209.2.1";"Promouvoir l'Agenda du développement durable";"Citoyen";"";"";"23137";"1. Part des autorisations d'engagement de l'AFD en subventions et en prêts dans les Etats étrangers ayant un co-bénéfice climat";"";"";"SSI Documenté";"%";"55";"52";">50*";">50";"50,4";"2017";">50";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"11616";"P209.2";"Promouvoir l'Agenda du développement durable";"11374";"P209.2.1";"Promouvoir l'Agenda du développement durable";"Citoyen";"";"";"24655";"3. Nombre d'infections évitées (VIH, tuberculose, paludisme) grâce à la contribution de la France au Fonds mondial de lutte contre le sida, la tuberculose et le paludisme";"(nouveau)";"";"SSI Documenté";"Millions";"4,5";"6,75";"5,1";"4,8";"5";"2017";"5,1";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"12367";"P209.3";"Renforcer les partenariats, mettre en oeuvre les partenariats différenciés et promouvoir nos priorités géographiques";"11375";"P209.3.1";"Renforcer les partenariats";"Contribuable";"";"";"12172";"1. Taux de projets associant des ONG françaises à des partenaires étrangers non gouvernementaux";"";"";"SSI Documenté";"%";"87";"78";"80";"SO";"80";"2017";"80";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Aide publique au développement";"P209";"Solidarité à l'égard des pays en développement";"12367";"P209.3";"Renforcer les partenariats, mettre en oeuvre les partenariats différenciés et promouvoir nos priorités géographiques";"14454";"P209.3.2";"Concentration des subventions";"Citoyen";"";"";"23575";"Part des subventions de l'AFD aux pays pauvres prioritaires";"";"";"SSI Documenté";"%";"69";"74";">67";">67";"76";"2017";">67";"Cible atteinte";"MIN01";"Affaires étrangères et développement international"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P167";"Liens entre la Nation et son armée";"2090";"MMB.1 (P167.1)";"Sensibiliser chaque classe d'âge à l'esprit de défense par une JDC de qualité et pour un coût maîtrisé";"3023";"P167.1.1";"Taux de satisfaction de l'""usager"" de la JDC";"Usager";"Stratégique mission";"";"7936";"Qualité de la prestation offerte par la DSN et par les armées";"";"";"SSI Documenté";"%";"89,8";"87,3";"87";"87";"87,8";"2017";"87";"Cible atteinte";"";""
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P167";"Liens entre la Nation et son armée";"2090";"MMB.1 (P167.1)";"Sensibiliser chaque classe d'âge à l'esprit de défense par une JDC de qualité et pour un coût maîtrisé";"3023";"P167.1.1";"Taux de satisfaction de l'""usager"" de la JDC";"Usager";"Stratégique mission";"";"15967";"Impact de la JDC sur l'image de la Défense et des armées";"";"";"SSI Documenté";"%";"90,6";"92,4";"88";"90";"95,5";"2017";"87";"Cible atteinte";"";""
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P169";"Reconnaissance et réparation en faveur du monde combattant";"2107";"MMB.2 (P169.1)";"Liquider les dossiers avec la meilleure efficacité et la meilleure qualité possibles";"3031";"P169.1.1";"Délai moyen de traitement d'un dossier de pension militaire d'invalidité";"Usager";"Stratégique mission";"";"8432";"Délai moyen de traitement d'un dossier de pension militaire d'invalidité (tous types d'instances confondues)";"";"";"SSI Documenté";"jours";"353";"259";"300";"SO";"260";"2017";"260";"Cible atteinte";"";""
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P167";"Liens entre la Nation et son armée";"2090";"P167.1";"Sensibiliser chaque classe d'âge à l'esprit de défense par une JDC de qualité et pour un coût maîtrisé";"3023";"P167.1.1";"Taux de satisfaction de l'""usager"" de la JDC";"Usager";"";"";"7936";"Qualité de la prestation offerte par la DSN et par les armées";"";"";"SSI Documenté";"%";"89,8";"87,3";"87";"87";"87,8";"2017";"87";"Cible atteinte";"MIN70";"Défense"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P167";"Liens entre la Nation et son armée";"2090";"P167.1";"Sensibiliser chaque classe d'âge à l'esprit de défense par une JDC de qualité et pour un coût maîtrisé";"3023";"P167.1.1";"Taux de satisfaction de l'""usager"" de la JDC";"Usager";"";"";"15967";"Impact de la JDC sur l'image de la Défense et des armées";"";"";"SSI Documenté";"%";"90,6";"92,4";"88";"90";"95,5";"2017";"87";"Cible atteinte";"MIN70";"Défense"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P167";"Liens entre la Nation et son armée";"2090";"P167.1";"Sensibiliser chaque classe d'âge à l'esprit de défense par une JDC de qualité et pour un coût maîtrisé";"3024";"P167.1.2";"Coût moyen par participant";"Contribuable";"";"";"8273";"Coût moyen par participant hors soutiens mutualisés (avec pension)";"";"";"SSI Documenté";"€";"139,68";"135,01";"<140";"<140";"135,53";"2017";"140";"Cible atteinte";"MIN70";"Défense"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P169";"Reconnaissance et réparation en faveur du monde combattant";"2107";"P169.1";"Liquider les dossiers avec la meilleure efficacité et la meilleure qualité possibles";"3031";"P169.1.1";"Délai moyen de traitement d'un dossier de pension militaire d'invalidité";"Usager";"";"";"8432";"Délai moyen de traitement d'un dossier de pension militaire d'invalidité (tous types d'instances confondues)";"";"";"SSI Documenté";"jours";"353";"259";"300";"SO";"260";"2017";"260";"Cible atteinte";"MIN70";"Défense"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P169";"Reconnaissance et réparation en faveur du monde combattant";"2111";"P169.2";"Régler les prestations de soins médicaux gratuits avec la meilleure efficacité possible";"2111";"P169.2.1";"Nombre moyen de dossiers de soins médicaux gratuits traités par agent";"Contribuable";"";"";"8301";"Nombre moyen de dossiers de soins médicaux gratuits traités par agent";"";"";"SSI Documenté";"Nombre";"18065";"18509";"18500";"18500";"18893";"2017";"18200";"Cible atteinte";"MIN70";"Défense"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P169";"Reconnaissance et réparation en faveur du monde combattant";"2116";"P169.3";"Fournir les prestations de l'ONAC-VG avec la meilleure efficacité possible";"3037";"P169.3.1";"Nombre moyen de dossiers de cartes et titres traités par agent";"Contribuable";"";"";"7977";"Nombre moyen de dossiers de cartes et titres traités par agent";"";"";"SSI Documenté";"Nombre";"1367";"1225";"1000";"1100";"880";"2017";"1000";"Absence d'amélioration";"MIN70";"Défense"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P169";"Reconnaissance et réparation en faveur du monde combattant";"2117";"P169.4";"Fournir les prestations médicales, paramédicales et hôtelières aux pensionnaires de l'Institution nationale des Invalides au meilleur rapport qualité-coût";"2117";"P169.4.1";"Coût de la journée d'un pensionnaire de l'INI";"Contribuable";"";"";"8277";"Coût de la journée d'un pensionnaire de l'INI";"";"";"SSI Documenté";"€";"418";"418";"401";"414";"413";"2017";"410";"Cible atteinte";"MIN70";"Défense"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P158";"Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale";"10104";"P158.1";"Améliorer le délai de paiement des dossiers d'indemnisation des victimes de spoliations après l'émission des recommandations favorables";"10144";"P158.1.1";"Délai moyen de paiement des dossiers d'indemnisation des victimes de spoliations (résidents français et non résidents) après émission de la recommandation";"Usager";"";"";"10281";"Délai moyen de paiement des dossiers d'indemnisation des victimes de spoliations (résidents français) après émission de la recommandation";"";"";"SSI Documenté";"Mois";"4,5";"4,5";"4,5";"4,5";"4,5";"2017";"4,5";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Anciens combattants, mémoire et liens avec la nation";"P158";"Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale";"10104";"P158.1";"Améliorer le délai de paiement des dossiers d'indemnisation des victimes de spoliations après l'émission des recommandations favorables";"10144";"P158.1.1";"Délai moyen de paiement des dossiers d'indemnisation des victimes de spoliations (résidents français et non résidents) après émission de la recommandation";"Usager";"";"";"15692";"Délai moyen de paiement des dossiers d'indemnisation des victimes de spoliations (non résidents) après émission de la recommandation";"";"";"SSI Documenté";"Mois";"5,5";"5,5";"5,5";"5,5";"5,5";"2017";"5,5";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P126";"Conseil économique, social et environnemental";"131";"MCA.1 (P126.1)";"Associer les principales organisations de la société civile à l'élaboration de la politique économique sociale et environnementale de la Nation";"131";"P126.1.1";"Production intellectuelle du CESE";"Citoyen";"Stratégique mission";"";"19911";"Nombre d'avis produits";"";"";"SSI Documenté";"nombre";"32";"15";"25";"25";"27";"2017";"25";"Cible atteinte";"";""
"Budget général";"Conseil et contrôle de l'État";"P126";"Conseil économique, social et environnemental";"131";"MCA.1 (P126.1)";"Associer les principales organisations de la société civile à l'élaboration de la politique économique sociale et environnementale de la Nation";"131";"P126.1.1";"Production intellectuelle du CESE";"Citoyen";"Stratégique mission";"";"4458";"Etudes et communications";"";"";"SSI Documenté";"nombre";"2";"0";"5";"5";"1";"2017";"5";"Absence d'amélioration";"";""
"Budget général";"Conseil et contrôle de l'État";"P164";"Cour des comptes et autres juridictions financières";"435";"MCA.2 (P164.2)";"Contribuer à l'amélioration de la gestion publique et des politiques publiques";"10129";"P164.2.1";"Suites données aux recommandations de la Cour et des chambres régionales et territoriales des comptes";"Citoyen";"Stratégique mission";"";"10267";"Cour des comptes et chambres régionales et territoriales des comptes";"";"";"SSI Documenté";"%";"70";"72";"75";"75";"75,9";"2017";"75";"Cible atteinte";"";""
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"MCA.3 (P165.1)";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"Stratégique mission";"";"24553";"au Conseil d'Etat";"(nouveau)";"";"SSI Documenté";"année";"9 mois et 2 jours";"8 mois";"9 mois";"8 mois";"7 mois et 12 jours";"2017";"Sans objet";"Cible atteinte";"";""
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"MCA.3 (P165.1)";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"Stratégique mission";"";"24554";"dans les cours administratives d'appel";"(nouveau)";"";"SSI Documenté";"année";"11 mois et 10 jours";"11 mois et 3 jours";"10 mois et 20 jours";"10 mois et 25 jours";"11 mois et 3 jours";"2017";"Sans objet";"Absence d'amélioration";"";""
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"MCA.3 (P165.1)";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"Stratégique mission";"";"24555";"dans les tribunaux administratifs";"(nouveau)";"";"SSI Documenté";"année";"10 mois et 24 jours";"10 mois et 20 jours";"10 mois et 15 jours";"10 mois et 15 jours";"10 mois et 15 jours";"2017";"Sans objet";"Cible atteinte";"";""
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"MCA.3 (P165.1)";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"Stratégique mission";"";"24556";"à la Cour nationale du droit d'asile, pour les procédures ordinaires";"(nouveau)";"";"SSI Documenté";"année";"7 mois et 3 jours";"7 mois et 19 jours";"6 mois";"7 mois et 15 jours";"6 mois et 17 jours";"2017";"Sans objet";"Cible atteinte";"";""
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"MCA.3 (P165.1)";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"Stratégique mission";"";"24557";"à la Cour nationale du droit d'asile, pour les procédures accélérées";"(nouveau)";"";"SSI Documenté";"année";"Sans objet";"13 semaines";"6 semaines";"15 semaines";"13 semaines";"2017";"Sans objet";"Cible atteinte";"";""
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"";"";"24553";"au Conseil d'Etat";"(nouveau)";"";"SSI Documenté";"année";"9 mois et 2 jours";"8 mois";"9 mois";"8 mois";"7 mois et 12 jours";"2017";"Sans objet";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"";"";"24554";"dans les cours administratives d'appel";"(nouveau)";"";"SSI Documenté";"année";"11 mois et 10 jours";"11 mois et 3 jours";"10 mois et 20 jours";"10 mois et 25 jours";"11 mois et 3 jours";"2017";"Sans objet";"Absence d'amélioration";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"";"";"24555";"dans les tribunaux administratifs";"(nouveau)";"";"SSI Documenté";"année";"10 mois et 24 jours";"10 mois et 20 jours";"10 mois et 15 jours";"10 mois et 15 jours";"10 mois et 15 jours";"2017";"Sans objet";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"";"";"24556";"à la Cour nationale du droit d'asile, pour les procédures ordinaires";"(nouveau)";"";"SSI Documenté";"année";"7 mois et 3 jours";"7 mois et 19 jours";"6 mois";"7 mois et 15 jours";"6 mois et 17 jours";"2017";"Sans objet";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"14690";"P165.1.1";"Délai moyen constaté de jugement des affaires";"Usager";"";"";"24557";"à la Cour nationale du droit d'asile, pour les procédures accélérées";"(nouveau)";"";"SSI Documenté";"année";"Sans objet";"13 semaines";"6 semaines";"15 semaines";"13 semaines";"2017";"Sans objet";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"461";"P165.1.2";"Proportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'Etat, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile";"Usager";"";"";"3317";"Au Conseil d'Etat.";"";"";"SSI Documenté";"%";"3";"1,6";"3";"1,8";"2,3";"2017";"5";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"461";"P165.1.2";"Proportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'Etat, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile";"Usager";"";"";"3318";"Dans les cours administratives d'appel.";"";"";"SSI Documenté";"%";"1,8";"1,9";"3";"3";"3,2";"2017";"4,5";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"461";"P165.1.2";"Proportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'Etat, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile";"Usager";"";"";"3320";"Dans les tribunaux administratifs.";"";"";"SSI Documenté";"%";"9,1";"8,6";"8,5";"8,5";"7,8";"2017";"8";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"464";"P165.1";"Réduire les délais de jugement";"461";"P165.1.2";"Proportion d'affaires en stock enregistrées depuis plus de 2 ans au Conseil d'Etat, dans les cours administratives d'appel et dans les tribunaux administratifs et depuis plus d'un an à la Cour nationale du droit d'asile";"Usager";"";"";"13815";"A la Cour nationale du droit d'asile";"";"";"SSI Documenté";"%";"9";"7";"5";"7";"6,8";"2017";"10";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"468";"P165.2";"Maintenir la qualité des décisions juridictionnelles";"466";"P165.2.1";"Taux d'annulation des décisions juridictionnelles";"Usager";"";"";"8169";"Taux d'annulation par les cours administratives d'appel des jugements des tribunaux administratifs.";"";"";"SSI Documenté";"%";"16";"15";"15";"15";"14,9";"2017";"<15";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"468";"P165.2";"Maintenir la qualité des décisions juridictionnelles";"466";"P165.2.1";"Taux d'annulation des décisions juridictionnelles";"Usager";"";"";"8033";"Taux d'annulation par le Conseil d'Etat des arrêts des cours administratives d'appel.";"";"";"SSI Documenté";"%";"19,1";"16,4";"17";"17";"15,5";"2017";"<15";"Amélioration";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"468";"P165.2";"Maintenir la qualité des décisions juridictionnelles";"466";"P165.2.1";"Taux d'annulation des décisions juridictionnelles";"Usager";"";"";"7820";"Taux d'annulation par le Conseil d'Etat des jugements des tribunaux administratifs.";"";"";"SSI Documenté";"%";"15,2";"15,7";"15";"16";"16,5";"2017";"<15";"Absence d'amélioration";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"468";"P165.2";"Maintenir la qualité des décisions juridictionnelles";"466";"P165.2.1";"Taux d'annulation des décisions juridictionnelles";"Usager";"";"";"13816";"Taux d'annulation par le Conseil d'Etat des décisions de la Cour nationale du droit d'asile";"";"";"SSI Documenté";"%";"2,2";"2";"3";"3";"2";"2017";"<5";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"471";"P165.3";"Améliorer l'efficience des juridictions";"469";"P165.3.1";"Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile";"Contribuable";"";"";"4033";"Au Conseil d'Etat";"";"";"SSI Documenté";"Nbre";"80";"91";"85";"85";"85";"2017";"85";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"471";"P165.3";"Améliorer l'efficience des juridictions";"469";"P165.3.1";"Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile";"Contribuable";"";"";"4034";"Dans les cours administratives d'appel.";"";"";"SSI Documenté";"Nbre";"114";"116";"110";"116";"122";"2017";"110";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"471";"P165.3";"Améliorer l'efficience des juridictions";"469";"P165.3.1";"Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile";"Contribuable";"";"";"4035";"Dans les tribunaux administratifs.";"";"";"SSI Documenté";"Nbre";"243,5";"250";"240";"250";"262";"2017";"240";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"471";"P165.3";"Améliorer l'efficience des juridictions";"469";"P165.3.1";"Nombre d'affaires réglées par membre du Conseil d'État, par magistrat des tribunaux administratifs et des cours administratives d'appel, ou par rapporteur de la Cour nationale du droit d'asile";"Contribuable";"";"";"19890";"A la Cour nationale du droit d'asile";"";"";"SSI Documenté";"Nbre";"241";"273";"269";"275";"267";"2017";"312";"Absence d'amélioration";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"471";"P165.3";"Améliorer l'efficience des juridictions";"2516";"P165.3.2";"Nombre d'affaires réglées par agent de greffe";"Contribuable";"";"";"3335";"Au Conseil d'Etat.";"";"";"SSI Documenté";"Nbre";"151";"157";"160";"165";"189";"2017";"160";"Cible atteinte";"MIN12";"Services du Premier ministre"
"Budget général";"Conseil et contrôle de l'État";"P165";"Conseil d'État et autres juridictions administratives";"471";"P165.3";"Améliorer l'efficience des juridictions";"2516";"P165.3.2";"Nombre d'affaires réglées par agent de greffe";"Contribuable";"";"";"3336";"Dans les cours administratives d'appel.";"";"";"SSI Documenté";"Nbre";"110";"109";"100";"109";"127";"2017";"97";"Cible atteinte";"MIN12";"Services du Premier ministre"
