"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Identifiant.Objectif";"Numéro.Objectif";"Objectif";"Identifiant.Indicateur";"Numéro.indicateur";"Indicateur";"type.indicateur";"Indicateur.de.mission.";"Indicateur.transversal.si.X";"Identifiant.sous.indicateur";"Sous.indicateur";"SSI.Nouveau..";"SSI.modifié.";"PAP.seulement...Sous.indicateur.Documenté..";"Unité";"Réalisation.2010";"Réalisation.2011";"Prévision.2012.PAP.2012";"Prévision.2012.PAP.2013";"Réalisation.2012";"Année.cible";"Valeur.cible";"Code.Ministère";"Ministère"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"885";"P217.1";"Mobiliser les pouvoirs publics et la société civile en faveur du développement durable";"4483";"P217.1.2";"Réaliser dans des délais raisonnables la publication des textes d'application des lois et des textes transposant les directives européennes";"Citoyen";"";"X";"15881";"Part des directives européennes transposées dans l'année / nombre de directives européennes à transposer";"";"";"SSI Documenté";"%";"78";"85";"80";"85";"93";"2013";"80";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"885";"P217.1";"Mobiliser les pouvoirs publics et la société civile en faveur du développement durable";"4483";"P217.1.2";"Réaliser dans des délais raisonnables la publication des textes d'application des lois et des textes transposant les directives européennes";"Citoyen";"";"X";"17738";"Délai moyen de publication des textes d'application des lois";"";"";"SSI Documenté";"mois";"10,6";"14,2";"10";"10";"18,4";"2013";"6";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"10728";"P217.2";"Etre une administration exemplaire, au regard du développement durable, dans la maîtrise des moyens de fonctionnement";"11679";"P217.2.1";"Ratio d'efficience bureautique";"Contribuable";"";"X";"15676";"Ratio d'efficience bureautique";"";"";"SSI Documenté";"€/poste";"912 (AC+SD)";"901 (AC+SD)";"893 (AC+SD)";"885 (AC+SD)";"880";"2013";"888 (AC+SD)";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"10728";"P217.2";"Etre une administration exemplaire, au regard du développement durable, dans la maîtrise des moyens de fonctionnement";"11679";"P217.2.1";"Ratio d'efficience bureautique";"Contribuable";"";"X";"15864";"Nombre de postes bureautiques";"";"";"SSI Documenté";"nombre";"30250";"29409";"29435 (AC+SD)";"29280";"30264";"2013";"29039 (AC+SD)";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"10728";"P217.2";"Etre une administration exemplaire, au regard du développement durable, dans la maîtrise des moyens de fonctionnement";"11846";"P217.2.2";"Efficience de la gestion immobilière";"Contribuable";"";"X";"15893";"Ratio entretien courant / SUB  en administration centrale";"";"";"SSI Documenté";"€ / m2";"44,08";"38,93";"40";"40";"39,17";"2013";"40";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"10728";"P217.2";"Etre une administration exemplaire, au regard du développement durable, dans la maîtrise des moyens de fonctionnement";"11846";"P217.2.2";"Efficience de la gestion immobilière";"Contribuable";"";"X";"18551";"Ratio d'occupation (SUN / poste de travail) en administration centrale";"";"";"SSI Documenté";"m² / poste";"13,86";"13,3";"13,73";"13,42";"13,48";"2013";"13,5";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"10728";"P217.2";"Etre une administration exemplaire, au regard du développement durable, dans la maîtrise des moyens de fonctionnement";"11674";"P217.2.3";"Taux moyen des émissions de CO2 (en g/km) des voitures particulières";"Citoyen";"";"";"15664";"Taux moyen des émissions de CO2 (en g/km) du stock annuel de voitures particulières de services utilisées (achetées ou louées)";"";"";"SSI Documenté";"g/Km";"128";"127";"126";"126";"125*";"2013";"124";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"10728";"P217.2";"Etre une administration exemplaire, au regard du développement durable, dans la maîtrise des moyens de fonctionnement";"11674";"P217.2.3";"Taux moyen des émissions de CO2 (en g/km) des voitures particulières";"Citoyen";"";"";"15665";"Taux moyen des émissions de CO2 (en g/km) des voitures particulières achetées ou louées dans l'année";"";"";"SSI Documenté";"g/Km";"115";"113";"113";"112";"105*";"2013";"110";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"3601";"P217.3";"Appliquer une politique des ressources humaines responsable";"11671";"P217.3.1";"Effort en matière de formation continue";"Usager";"";"";"15661";"Nombre moyen de jours de formation suivis par agent";"";"";"SSI Documenté";"jours";"6,4";"6,5";"7,5";"7,5";"7,5*";"2013";"7,5";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"3601";"P217.3";"Appliquer une politique des ressources humaines responsable";"10402";"P217.3.2";"Ratio d'efficience de la gestion des ressources humaines";"Contribuable";"";"X";"10775";"Ratio d'efficience de la gestion des ressources humaines";"";"";"SSI Documenté";"%";"3,4";"3,33";"3";"3";"3,2";"2013";"2,7";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Écologie, développement et aménagement durables";"P217";"Conduite et pilotage des politiques de l'écologie, de l'énergie, du développement durable et de la mer";"3601";"P217.3";"Appliquer une politique des ressources humaines responsable";"11676";"P217.3.3";"Taux d'emploi des travailleurs handicapés au sein du MEDDTL";"Citoyen";"";"X";"15667";"Taux d'emploi des travailleurs handicapés au sein du MEDDTL";"";"";"SSI Documenté";"%";"5,42";"6,48";"5,64";"6,49";"6,50*";"2013";"5,75";"MIN23";"Écologie, développement durable, transports et logement"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"206";"P134.1";"Renforcer l'efficacité des aides aux entreprises";"205";"P134.1.1";"Ecart entre le taux de croissance des entreprises aidées par OSEO et celui des entreprises comparables";"Citoyen";"";"";"4765";"Ecart entre le taux de croissance de la valeur ajoutée des entreprises aidées par OSEO et le taux de croissance de la valeur ajoutée des entreprises comparables";"";"(libellé modifié)";"SSI Documenté";"points";"8,1 (génération 2007)";"8,8 (génération 2008)";"?5 (génération 2009)";">=1 (génération 2009)";"6,2 (génération 2009)";"2013";"?10";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"206";"P134.1";"Renforcer l'efficacité des aides aux entreprises";"206";"P134.1.2";"Taux de pérennité à 3 ans des entreprises aidées";"Citoyen";"Indicateur de mission";"";"4768";"a) Ecart entre le taux de pérennité à 3 ans des entreprises nouvelles aidées par OSEO l'année de leur création et le taux de pérennité à 3 ans des entreprises créées en France";"";"(libellé modifié)";"SSI Documenté";"points";"13,4 (génération 2005)";"11,4 (génération 2006)";"? 10";">=5 (génération 2007)";"10,2 (génération 2007)";"2013";"? 10";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"206";"P134.1";"Renforcer l'efficacité des aides aux entreprises";"206";"P134.1.2";"Taux de pérennité à 3 ans des entreprises aidées";"Citoyen";"Indicateur de mission";"";"5175";"b) Taux de pérennité à 3 ans des entreprises aidées par le FISAC";"";"";"SSI Documenté";"%";"95,5";"94,5";"91";"91";"92,3";"2013";"92";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"206";"P134.1";"Renforcer l'efficacité des aides aux entreprises";"12096";"P134.1.3";"Suivi des engagements du ""contrat d'avenir pour la restauration"" dans le cadre de la baisse de la TVA";"Contribuable";"";"";"17539";"Montant des investissements dans le secteur de la restauration";"";"";"SSI Documenté";"M€";"";"4,0 Mds € depuis 2009";"nd";"";"1,65";"2012";"nd";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"206";"P134.1";"Renforcer l'efficacité des aides aux entreprises";"12096";"P134.1.3";"Suivi des engagements du ""contrat d'avenir pour la restauration"" dans le cadre de la baisse de la TVA";"Contribuable";"";"";"17540";"Evolution de l'indice des prix de la restauration en euros constants juin 2009";"";"";"SSI Documenté";"%";"-2,4";"-2,8";"-4%";"-4";"-1,28";"2012";"-4%";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"206";"P134.1";"Renforcer l'efficacité des aides aux entreprises";"12096";"P134.1.3";"Suivi des engagements du ""contrat d'avenir pour la restauration"" dans le cadre de la baisse de la TVA";"Contribuable";"";"";"17541";"Taux de croissance de l'emploi dans le secteur HCR";"";"";"SSI Documenté";"%";"1,5";"3";"2,5";"2,8";"0,4";"2012";"2,5";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"206";"P134.1";"Renforcer l'efficacité des aides aux entreprises";"12096";"P134.1.3";"Suivi des engagements du ""contrat d'avenir pour la restauration"" dans le cadre de la baisse de la TVA";"Contribuable";"";"";"17542";"Taux de croissance de l'emploi dans le tertiaire marchand";"";"";"SSI Documenté";"%";"2,8";"1,7";"1,9";"1,9";"-0,3";"2012";"1,9";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"207";"P134.2";"Améliorer la qualité et l'efficacité du soutien aux entreprises à l'exportation";"11946";"P134.2.1";"Efficience du dispositif du développement international des entreprises françaises";"Contribuable";"";"";"16143";"Efficience du dispositif du développement international des entreprises françaises";"";"";"SSI Documenté";"ratio";"20,7 (2)";"19 (2)";">13,25 (1)";"13,2";"15,7";"2013";">13,64 (1)";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"216";"P134.3";"Répondre aux besoins des entrepreneurs en simplifiant l'environnement administratif des entreprises";"215";"P134.3.1";"Complexité administrative ressentie au moment de la création d'entreprise";"Usager";"";"";"18247";"Rang de classement international de la France en matière de réglementation favorisant la création et le développement des entreprises";"";"";"SSI Documenté";"rang";"26";"22";"maintien du rang, voire progression";"25";"23";"2012";"inférieur à la 26ème place";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"228";"P134.4";"Assurer le fonctionnement loyal et sécurisé des marchés";"3931";"P134.4.1";"Taux de suite opérationnelle des indices de pratiques anticoncurrentielles transmis aux services spécialisés (BIEC)";"Citoyen";"";"";"8162";"Taux de suite opérationnelle des indices de pratiques anticoncurrentielles transmis aux services spécialisés (BIEC)";"";"";"SSI Documenté";"%";"40,2";"40,3";"40,5";"40,5";"40,7";"2013";"41";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"228";"P134.4";"Assurer le fonctionnement loyal et sécurisé des marchés";"3951";"P134.4.2";"Pourcentage d'enquêtes suite à plainte traitées dans le délai de 2 mois";"Usager";"";"";"12461";"Pourcentage d'enquêtes suite à plainte traitées dans le délai de 2 mois";"";"";"SSI Documenté";"%";"65,7";"68,4";"66,5";"67";"69,5";"2013";"67";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"228";"P134.4";"Assurer le fonctionnement loyal et sécurisé des marchés";"251";"P134.4.3";"Temps consacré aux enquêtes rapporté au temps total travaillé (DGCCRF)";"Contribuable";"";"";"8025";"Temps consacré aux enquêtes rapporté au temps total travaillé (DGCCRF)";"";"";"SSI Documenté";"%";"74,5";"75,1";"74,8";"75";"75,7";"2013";"75";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"242";"P134.5";"Rendre des décisions de qualité dans les délais";"3933";"P134.5.1";"Délai moyen de réponse aux demandes d'avis";"Usager";"";"";"5317";"ARCEP - avis tarifaires";"";"";"SSI Documenté";"Jours";"16,8";"15,7";"10";"15";"11,6";"2013";"10";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"242";"P134.5";"Rendre des décisions de qualité dans les délais";"3933";"P134.5.1";"Délai moyen de réponse aux demandes d'avis";"Usager";"";"";"5318";"ARCEP - projets de textes";"";"";"SSI Documenté";"Jours";"13,5";"12,1";"10";"15";"14,3";"2013";"10";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"242";"P134.5";"Rendre des décisions de qualité dans les délais";"3933";"P134.5.1";"Délai moyen de réponse aux demandes d'avis";"Usager";"";"";"5319";"CRE";"";"";"SSI Documenté";"Jours";"14";"17";"13";"17";"20";"2013";"13";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"242";"P134.5";"Rendre des décisions de qualité dans les délais";"3933";"P134.5.1";"Délai moyen de réponse aux demandes d'avis";"Usager";"";"";"5320";"Autorité de la concurrence";"";"";"SSI Documenté";"Mois";"3";"3,5";"3";"3";"3";"2013";"3";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"242";"P134.5";"Rendre des décisions de qualité dans les délais";"3934";"P134.5.2";"Délai de traitement des différends et plaintes";"Usager";"";"";"5334";"ARCEP";"";"";"SSI Documenté";"Mois";"3,5";"3,4";"4";"4";"4";"2013";"4";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"242";"P134.5";"Rendre des décisions de qualité dans les délais";"3934";"P134.5.2";"Délai de traitement des différends et plaintes";"Usager";"";"";"5335";"CRE";"";"";"SSI Documenté";"Jours";"56";"120";"55";"120";"120";"2013";"55";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P134";"Développement des entreprises et de l'emploi";"242";"P134.5";"Rendre des décisions de qualité dans les délais";"3934";"P134.5.2";"Délai de traitement des différends et plaintes";"Usager";"";"";"5336";"Autorité de la concurrence";"";"";"SSI Documenté";"Mois";"16,3";"16,7";"16";"16";"18,9";"2013";"16";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P223";"Tourisme";"2125";"P223.1";"Augmenter la capacité de l'opérateur chargé du développement du tourisme à mobiliser des partenariats financiers";"2123";"P223.1.1";"Part du partenariat dans le budget d'Atout France";"Contribuable";"";"";"2706";"Part du partenariat dans le financement du G.I.E.";"";"";"SSI Documenté";"%";"47, 4";"48, 3";"50";"49,2";"48";"2013";"50";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P223";"Tourisme";"2128";"P223.2";"Favoriser l'amélioration de l'offre touristique pour répondre aux attentes du marché et orienter la demande en accompagnant les démarches qualité";"2128";"P223.2.1";"Corrélation entre l'action sur l'offre et la satisfaction de la clientèle";"Citoyen";"";"";"6317";"Nombre d'établissements détenteurs de la marque ""Qualité Tourisme""/ Nombre d'entreprises du secteur : hôtellerie";"";"";"SSI Documenté";"%";"17,9";"18";"18";"18,2";"17,8";"2013";"18";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P223";"Tourisme";"2128";"P223.2";"Favoriser l'amélioration de l'offre touristique pour répondre aux attentes du marché et orienter la demande en accompagnant les démarches qualité";"2128";"P223.2.1";"Corrélation entre l'action sur l'offre et la satisfaction de la clientèle";"Citoyen";"";"";"2710";"Nombre d'établissements détenteurs de la marque ""Qualité Tourisme""/ Nombre d'entreprises du secteur : campings";"";"";"SSI Documenté";"%";"12,9";"12,7";"12,8";"12,9";"12,8";"2013";"12,8";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P223";"Tourisme";"2128";"P223.2";"Favoriser l'amélioration de l'offre touristique pour répondre aux attentes du marché et orienter la demande en accompagnant les démarches qualité";"2128";"P223.2.1";"Corrélation entre l'action sur l'offre et la satisfaction de la clientèle";"Citoyen";"";"";"2711";"Taux d'occupation des établissements détenteurs de la marque ""Qualité Tourisme""/ taux d'occupation des établissements du secteur : hôtellerie";"";"";"SSI Documenté";"ratio";"1,05";"1,1";"1,1";"1,12";"0,98";"2013";"1,1";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P223";"Tourisme";"2128";"P223.2";"Favoriser l'amélioration de l'offre touristique pour répondre aux attentes du marché et orienter la demande en accompagnant les démarches qualité";"2128";"P223.2.1";"Corrélation entre l'action sur l'offre et la satisfaction de la clientèle";"Citoyen";"";"";"6318";"Taux d'occupation des établissements détenteurs de la marque ""Qualité Tourisme""/ taux d'occupation des établissements du secteur : campings";"";"";"SSI Documenté";"ratio";"1,25";"1,3";"1,3";"1,32";"1,4";"2013";"1,3";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P223";"Tourisme";"3596";"P223.3";"Evaluer l'impact des mesures fiscales en faveur de l'Agence nationale pour les chèques-vacances";"4464";"P223.3.1";"Impact des politiques sociales de l'ANCV";"Contribuable";"";"";"18267";"Nombre cumulé de bénéficiaires de l'action sociale";"";"";"SSI Documenté";"nombre";"175000";"201000";"240000";"220500";"218000";"2012";"500000";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P220";"Statistiques et études économiques";"813";"P220.1";"Respecter les engagements de la France par rapport à l'Europe en termes de délais de diffusion des résultats économiques";"813";"P220.1.1";"Nombre de jours de retard cumulés entre les dates de diffusion et les dates prévues dans les engagements européens";"Citoyen";"";"";"8412";"Diffusion des comptes trimestriels";"";"";"SSI Documenté";"Jours";"0";"0";"1";"1";"0";"2013";"0";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P220";"Statistiques et études économiques";"813";"P220.1";"Respecter les engagements de la France par rapport à l'Europe en termes de délais de diffusion des résultats économiques";"813";"P220.1.1";"Nombre de jours de retard cumulés entre les dates de diffusion et les dates prévues dans les engagements européens";"Citoyen";"";"";"15660";"Diffusion des indices économiques conjoncturels";"";"";"SSI Documenté";"Jours";"2";"0";"2";"2";"0";"2013";"0";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P220";"Statistiques et études économiques";"814";"P220.2";"Traiter l'enquête de recensement dans les délais qui assurent la qualité";"814";"P220.2.1";"Pourcentage de communes pour lesquelles l'enquête de recensement a été traitée dans les délais prescrits";"Usager";"Indicateur de mission";"";"8403";"Pourcentage de communes pour lesquelles l'enquête de recensement a été traitée dans les délais prescrits";"";"";"SSI Documenté";"%";"100";"100";"99,965 *";"99,965 *";"99,989";"2013";"100";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P220";"Statistiques et études économiques";"3181";"P220.3";"Alléger la charge de réponse des entreprises aux enquêtes statistiques";"11667";"P220.3.1";"Mesure du temps médian consacré par les entreprises pour répondre aux questionnaires des Enquêtes Sectorielles Annuelles (ESA)";"Usager";"";"";"17916";"Mesure du temps médian consacré par les entreprises pour répondre aux questionnaires des Enquêtes Sectorielles Annuelles (ESA)";"";"";"SSI Documenté";"temps en mn";"< 60 min";"< 60 min";"? 60 min";"? 60 min";"< 60 min";"2013";"? 60 min";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P220";"Statistiques et études économiques";"818";"P220.4";"Assurer l'efficience de la collecte régulière de l'Enquête Emploi en Continu (EEC)";"818";"P220.4.1";"Indice d'évolution du coût unitaire de la collecte régulière de l'Enquête Emploi en Continu depuis 2006 (base 100 en 2006)";"Contribuable";"";"";"7959";"Indice d'évolution du coût unitaire de la collecte régulière de l'Enquête Emploi en Continu depuis 2006 en Euros constants (base 100 en 2006)";"";"";"SSI Documenté";"indice";"85,6";"85,1";"? 100";"<= 100";"85,9";"2013";"? 100";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P220";"Statistiques et études économiques";"11428";"P220.5";"Améliorer la mesure des performances économiques et du progrès social";"12669";"P220.5.1";"Nombre cumulé de nouvelles contributions de l'Insee répondant aux recommandations du rapport Stiglitz-Sen-Fitoussi";"Citoyen";"";"";"20122";"Nombre cumulé de nouvelles contributions de l'Insee répondant aux recommandations du rapport Stiglitz-Sen-Fitoussi";"(nouveau)";"";"SSI Documenté";"Nombre";"///";"///";"2";"2";"2";"2013";"4";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16148";"Croissance du PIB";"";"";"SSI NON Documenté";"";"";"";"";"";"";"2013";"";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16195";"Réalisation";"";"";"SSI Documenté";"%";"1,7";"1,7";"INSEE 05/2012";"0";"0";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16196";"Prévision de croissance du Gouvernement";"";"";"SSI Documenté";"%";"0,75 (RESF 2010, 10/2009)";"2,0 (RESF 2011, 10/2010)";"RESF 2012";"0,3 (DOFP, 07/2012)";"0,3 (RESF 2013,10/2012)";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16197";"Ecart prévision de croissance du Gouvernement / réalisation";"";"";"SSI Documenté";"Points";"-0,95";"0,3";"ND";"0,3";"0,3";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16198";"Prévision de croissance des instituts de conjoncture";"";"";"SSI Documenté";"%";"1,2 (RESF 2010, 10/2009)";"1,5 (RESF 2011, 10/2010)";"RESF 2012";"ND";"0,1 (RESF 2013, 10/2012)";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16199";"Ecart prévisions de croissance des instituts de conjoncture / réalisation";"";"";"SSI Documenté";"Points";"-0,5";"-0,2";"ND";"ND";"0,1";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16200";"Inflation";"";"";"SSI NON Documenté";"";"";"";"";"";"";"2013";"";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16201";"Réalisation";"";"";"SSI Documenté";"%";"1,5";"2,1";"INSEE 01/2013";"2";"2";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16202";"Prévision d'inflation du Gouvernement";"";"";"SSI Documenté";"%";"1,2 (RESF 2010, 10/2009)";"1,5 (RESF 2011, 10/2010)";"RESF 2012";"1,9 (DOFP, 07/2012)";"2,0 (RESF 2013, 10/2012)";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16203";"Ecart prévision d'inflation du Gouvernement / réalisation";"";"";"SSI Documenté";"Points";"-0,3";"-0,6";"ND";"0,1";"0";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16204";"Prévision d'inflation des instituts de conjoncture";"";"";"SSI Documenté";"%";"1,2 (RESF 2010, 10/2009)";"1,5 (RESF 2011, 10/2010)";"RESF 2012";"ND";"2,0 (RESF 2013, 10/2012)";"2013";"ND";"MIN57";"Économie, finances et industrie"
"Budget général";"Économie";"P305";"Stratégie économique et fiscale";"802";"P305.1";"Assurer la qualité de l'analyse et des prévisions présentées dans le projet de loi de finances, dans le domaine des évolutions économiques et dans celui des recettes fiscales";"11994";"P305.1.1";"Fiabilité comparée, au vu des réalisations, des prévisions du Gouvernement présentées dans le RESF et de celles des instituts de conjoncture";"Citoyen";"";"";"16205";"Ecart prévisions d'inflation des instituts de conjoncture / réalisation";"";"";"SSI Documenté";"Points";"-0,3";"-0,6";"ND";"ND";"0";"2013";"ND";"MIN57";"Économie, finances et industrie"
