"Type.de.Mission";"Mission";"COD_PGM";"Programme";"Numéro.Objectif";"Objectif";"Numéro.indicateur";"Indicateur";"type.indicateur";"Stratégique.au.niveau.mission.";"Sous.indicateur";"Unité";"Réalisation.2014";"Réalisation.2015";"Prévision.2016.PAP.2016";"Prévision.2016.PAP.2017";"Réalisation.2016";"Année.cible";"Valeur.cible";"Code.Ministère.LFI.2016";"Ministère.LFI.2016"
"Budget général";"Écologie, développement et mobilité durables";"P181";"Prévention des risques";"MTA.3 (P181.1)";"Limiter l'exposition aux risques technologiques et réduire l'impact des pollutions industrielles et agricoles sur les personnes, les biens et l'environnement";"P181.1.1";"Nombre total pondéré de contrôles des installations classées sur effectif de l'inspection (en ETPT)";"Contribuable";"Stratégique mission";"Nombre total pondéré de contrôles des installations classées (IC) sur effectif de l'inspection (en ETPT)";"ratio";"20,3";"21,8";"23,5";"23";"20,5";"2017";"25";"";""
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.1";"Réaliser au meilleur coût les projets de desserte planifiés et moderniser efficacement les réseaux de transports";"P203.1.1";"Ecart entre les réalisations et les prévisions de coûts pour les opérations mises en service";"Contribuable";"";"Evolution des coûts de construction des opérations routières, ferroviaires, fluviales et portuaires par rapport aux prévisions";"%";"7,4";"-9,9";"7,0";"1,3";"-1,1";"2017";"<0,0";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.1";"Réaliser au meilleur coût les projets de desserte planifiés et moderniser efficacement les réseaux de transports";"P203.1.2";"Intérêt socio-économique des opérations";"Contribuable";"";"Intérêt socio-économique des opérations ferroviaires, fluviales et portuaires";"€ / € public investi";"-0,3";"0,7";"0,5";"NR";"1,8";"2017";">1,3";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.1";"Réaliser au meilleur coût les projets de desserte planifiés et moderniser efficacement les réseaux de transports";"P203.1.2";"Intérêt socio-économique des opérations";"Contribuable";"";"Intérêt socio-économique des opérations routières";"€ / € public investi";"3,9";"1,0";"1,9";"1,6";"1,6";"2017";">3,0";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.2";"Améliorer la qualité des infrastructures de transports";"P203.2.1";"Coût des opérations de régénération et d'entretien du réseau ferré";"Contribuable";"";"Coût kilométrique moyen des opérations de régénération";"k€ courants par km";"1161";"1251 (provisoire)";"1255";"1295";"1295 (provisoire)";"2017";"<1270";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.2";"Améliorer la qualité des infrastructures de transports";"P203.2.1";"Coût des opérations de régénération et d'entretien du réseau ferré";"Contribuable";"";"Coût kilométrique moyen des opérations d'entretien";"k€ courants par km";"45,8";"49,1 (provisoire)";"46,9";"49";"51      (provisoire)";"2017";"<47,6";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.2";"Améliorer la qualité des infrastructures de transports";"P203.2.2";"Etat des réseaux routier, ferroviaire et fluvial";"Usager";"";"Etat des structures de chaussées sur le réseau routier non concédé (moyenne des notes IQRN)";"note/20";"16,3";"16,3";"16,2";"15,9";"15,8";"2017";">15,8";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.2";"Améliorer la qualité des infrastructures de transports";"P203.2.2";"Etat des réseaux routier, ferroviaire et fluvial";"Usager";"";"Etat des ouvrages d'art sur le réseau routier non concédé";"%";"87,7";"86,8";"87,2";"86,8";"88,2";"2017";">87,0";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.2";"Améliorer la qualité des infrastructures de transports";"P203.2.2";"Etat des réseaux routier, ferroviaire et fluvial";"Usager";"";"Etat des voies du réseau ferré national";"mm";"1,000";"NR";"1,070";"1,04";"0,91";"2017";"<1,085";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.2";"Améliorer la qualité des infrastructures de transports";"P203.2.2";"Etat des réseaux routier, ferroviaire et fluvial";"Usager";"";"Taux de disponibilité du réseau fluvial principal";"%";"97,3";"97,3";"97,5";"97,5";"97,9";"2017";">98,0";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.3";"Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route";"P203.3.1";"Part modale des transports non routiers";"Citoyen";"";"Part modale des transports collectifs terrestres dans l'ensemble des transports intérieurs de voyageurs";"%";"15,9 (provisoire)";"15,8 (provisoire)";"15,7";"19,3";"19,2 (provisoire)";"2017";">17,2";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.3";"Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route";"P203.3.1";"Part modale des transports non routiers";"Citoyen";"";"Part modale du transport ferroviaire dans le transport intérieur terrestre de marchandises";"%";"9,8 (provisoire)";"10,1 (provisoire)";"9,8";"10,6";"10,4 (provisoire)";"2017";">9,8";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.3";"Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route";"P203.3.1";"Part modale des transports non routiers";"Citoyen";"";"Part modale du transport fluvial dans le transport intérieur terrestre de marchandises";"%";"2,4 (provisoire)";"2,2 (provisoire)";"2,4";"2,2";"2 (provisoire)";"2017";">2,5";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.3";"Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route";"P203.3.2";"Part de marché des grands ports maritimes";"Citoyen";"";"% du trafic total";"%";"13,7";"13,5 (provisoire)";"13,6";"13,9";"13,2 (provisoire)";"2017";">16,0";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.3";"Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route";"P203.3.2";"Part de marché des grands ports maritimes";"Citoyen";"";"% du trafic conteneurisé";"%";"7,0";"6,6 (provisoire)";"7,0";"6,6";"6,3 (provisoire)";"2017";">7,5";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.3";"Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route";"P203.3.3";"Contrôle des transports routiers";"Citoyen";"";"Intensité des contrôles des entreprises du transport routier de marchandises";"%";"9,8";"9,7";"12,0";"10,5";"9";"2017";">15";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P203";"Infrastructures et services de transports";"P203.3";"Améliorer la régulation dans les transports routiers et développer la part des modes alternatifs à la route";"P203.3.3";"Contrôle des transports routiers";"Citoyen";"";"Nombre de véhicules de transport routier de marchandises et de voyageurs en infraction rapporté au nombre de véhicules contrôlés en bord de route";"%";"16,1";"16,6";"16,0";"16";"17";"2017";"16";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.1";"Ratio entre le nombre de personnes sauvées et le nombre de personnes impliquées dans un accident maritime après une opération de sauvetage coordonnée par les CROSS";"Citoyen";"";"Part des personnes sauvées après une opération de sauvetage coordonnée par les CROSS";"%";"98,67";"98,77";">98";">98";"98,5";"2017";">98";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.1";"Ratio entre le nombre de personnes sauvées et le nombre de personnes impliquées dans un accident maritime après une opération de sauvetage coordonnée par les CROSS";"Citoyen";"";"Nombre de personnes impliquées (y compris morts et disparus)";"Nombre";"24605";"26366";"SO";"";"22819";"2017";"SO";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.2";"Taux d'identification des sources à l'origine de rejets illicites et polluants en mer";"Citoyen";"";"Taux d'identification des navires à l'origine de rejets hydrocarbures illicites et polluants en mer";"%";"8,33";"4";">=10";">=5";"5";"2017";">=10";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.2";"Taux d'identification des sources à l'origine de rejets illicites et polluants en mer";"Citoyen";"";"Taux d'identification des navires à l'origine de rejets polluants et illicites en mer";"%";"SO";"SO";">=10";">=5";"20";"2017";">=10";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.2";"Taux d'identification des sources à l'origine de rejets illicites et polluants en mer";"Citoyen";"";"Nombre total de POLREP confirmés (tous types de pollution)";"Nombre";"SO";"SO";"SO";"SO";"135";"2017";"SO";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.3";"Taux de contrôle des navires étrangers faisant escale dans les ports français";"Citoyen";"";"Pourcentage de navires étrangers contrôlés";"%";"124,18";"116,9";">100";">100";"104,2";"2017";">100";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.3";"Taux de contrôle des navires étrangers faisant escale dans les ports français";"Citoyen";"";"Nombre de contrôles de navires étrangers au titre de l'Etat du port";"Nombre";"1294";"1231";"SO";"1041";"1085";"2017";"SO";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.3";"Taux de contrôle des navires étrangers faisant escale dans les ports français";"Citoyen";"";"Taux de contrôle des navires étrangers à risque élevé à inspection obligatoire";"%";"100";"100";">95";">95";"100";"2017";">95";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.1";"Renforcer la sécurité maritime et la protection de l'environnement";"P205.1.3";"Taux de contrôle des navires étrangers faisant escale dans les ports français";"Citoyen";"";"Taux de contrôle des navires étrangers autres qu'à risque élevé à inspection obligatoire";"%";"98,26";"98.3";">90";">90";"96.4";"2017";">90";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.2";"Promouvoir la flotte de commerce et l'emploi maritime";"P205.2.1";"Taux des actifs maritimes (employés dans les domaines maritime et para-maritime) parmi les anciens élèves des établissements d'enseignement maritime 5 ans après l'obtention de leur diplôme de formation initiale";"Usager";"";"Taux d'actifs maritimes";"%";"78";"76,7";">80";">80";"69,3";"2017";">80";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.2";"Promouvoir la flotte de commerce et l'emploi maritime";"P205.2.1";"Taux des actifs maritimes (employés dans les domaines maritime et para-maritime) parmi les anciens élèves des établissements d'enseignement maritime 5 ans après l'obtention de leur diplôme de formation initiale";"Usager";"";"Taux d'actifs maritimes parmi les élèves sortis de l'ENSM";"%";"88";"90,1";">90";">90";"83,7";"2017";">95";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.2";"Promouvoir la flotte de commerce et l'emploi maritime";"P205.2.1";"Taux des actifs maritimes (employés dans les domaines maritime et para-maritime) parmi les anciens élèves des établissements d'enseignement maritime 5 ans après l'obtention de leur diplôme de formation initiale";"Usager";"";"Taux d'actifs maritimes parmi les élèves sortis des LPM";"%";"66";"62,3";">70";">70";"57,3";"2017";">75";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.2";"Promouvoir la flotte de commerce et l'emploi maritime";"P205.2.2";"Evolution de l'emploi dans la filière du commerce maritime";"Citoyen";"";"Evolution du nombre de marins français";"Nombre";"13850";"13702";"14100";"14100";"13564";"2017";"14100";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.2";"Promouvoir la flotte de commerce et l'emploi maritime";"P205.2.2";"Evolution de l'emploi dans la filière du commerce maritime";"Citoyen";"";"Evolution de l'emploi dans le secteur du transport maritime";"Nombre";"132800";"132733";"stable";"132800";"130144";"2017";"stable";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.2";"Promouvoir la flotte de commerce et l'emploi maritime";"P205.2.2";"Evolution de l'emploi dans la filière du commerce maritime";"Citoyen";"";"Nombre total de navires de commerce sous pavillon français";"Nombre";"295";"298";"stable";"300";"299";"2017";"stable";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.3";"Mieux contrôler les activités maritimes et en particulier la pêche";"P205.3.1";"Taux d'infractions constatées à la pêche";"Citoyen";"";"Taux d'infractions constatées dans le contrôle des pêches";"%";"7,1";"6,5";"8,0";"7,5";"7,2";"2017";"8";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.3";"Mieux contrôler les activités maritimes et en particulier la pêche";"P205.3.1";"Taux d'infractions constatées à la pêche";"Citoyen";"";"Nombre de contrôles des pêches";"Nombre";"16241";"17435";"SO";"SO";"16516";"2017";"SO";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.3";"Mieux contrôler les activités maritimes et en particulier la pêche";"P205.3.1";"Taux d'infractions constatées à la pêche";"Citoyen";"";"Nombre d'infractions constatées";"Nombre";"1154";"1138";"SO";"";"1190";"2017";"SO";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.3";"Mieux contrôler les activités maritimes et en particulier la pêche";"P205.3.2";"Contrôles menés dans le cadre de la politique commune des pêches";"Citoyen";"";"Nombre d'inspections de navires de pêche en mer et au débarquement réalisées  rapporté au nombre de contrôles en mer et au débarquement prévus par le plan de contrôle";"%";"100";"100";"100";"100";"100";"2017";"100";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P205";"Sécurité et affaires maritimes, pêche et aquaculture";"P205.3";"Mieux contrôler les activités maritimes et en particulier la pêche";"P205.3.2";"Contrôles menés dans le cadre de la politique commune des pêches";"Citoyen";"";"Nombre d'inspections à terre réalisées  rapporté au nombre de contrôles à terre prévus par le plan de contrôle";"%";"125";"100";"100";"100";"100";"2017";"100";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.1";"Disposer d'un système performant de prévision météorologique et de prévention des risques météorologiques";"P170.1.1";"Performances du modèle numérique Arpège de Météo-France à l'échéance de 48 heures comparées à celles des autres modèles de prévision numérique du temps";"Usager";"";"Qualité du modèle global Arpège sur le domaine Europe";"%";"8,0";"5,8";">5,5";"5,2";"7,1";"2017";">5,5";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.1";"Disposer d'un système performant de prévision météorologique et de prévention des risques météorologiques";"P170.1.1";"Performances du modèle numérique Arpège de Météo-France à l'échéance de 48 heures comparées à celles des autres modèles de prévision numérique du temps";"Usager";"";"Qualité du modèle à maille fine Arome";"%";"77,5";"78,8";"77,5";"78";"77,9";"2017";"78";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.1";"Disposer d'un système performant de prévision météorologique et de prévention des risques météorologiques";"P170.1.2";"Taux de pertinence de la procédure de vigilance météorologique et des bulletins marine de sécurité";"Citoyen";"";"% de fausses alarmes au niveau départemental";"%";"10";"13";"<16";"<16";"14";"2017";"15";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.1";"Disposer d'un système performant de prévision météorologique et de prévention des risques météorologiques";"P170.1.2";"Taux de pertinence de la procédure de vigilance météorologique et des bulletins marine de sécurité";"Citoyen";"";"% d'événements détectés avec une anticipation supérieure à 3 heures";"%";"91";"93";">86";">86";"82";"2017";"86";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.1";"Disposer d'un système performant de prévision météorologique et de prévention des risques météorologiques";"P170.1.2";"Taux de pertinence de la procédure de vigilance météorologique et des bulletins marine de sécurité";"Citoyen";"";"% de bulletins marine de sécurité pertinents";"%";"83,7";"85,6";">84";">=83";"87";"2017";"84";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.1";"Disposer d'un système performant de prévision météorologique et de prévention des risques météorologiques";"P170.1.3";"Qualité des prévisions météorologiques de Météo-France";"Usager";"";"Taux de fiabilité des prévisions sur la France à 3 jours";"%";"88";"86,8";">84";"84";"88,3";"2017";"85";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.1";"Disposer d'un système performant de prévision météorologique et de prévention des risques météorologiques";"P170.1.3";"Qualité des prévisions météorologiques de Météo-France";"Usager";"";"Taux de fiabilité des bulletins marine";"%";"84,3";"83,4";">84";"84";"83,8";"2017";"84";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.2";"Valoriser les informations météorologiques et les résultats de la recherche au profit de l'économie et du développement durable";"P170.2.1";"Montant des recettes de l'établissement sur le marché des professionnels";"Contribuable";"";"Montant des recettes de l'établissement sur le marché des professionnels";"M€";"19,2";"19,1";"20,8";"20,3";"19,1";"2017";"21,2";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.2";"Valoriser les informations météorologiques et les résultats de la recherche au profit de l'économie et du développement durable";"P170.2.2";"Développement de l'activité de recherche au sein de l'établissement";"Citoyen";"";"Nombre de publications scientifiques réalisées par Météo-France dans les domaines du changement climatique et de ses impacts";"Nombre";"29";"29";"30";"30";"30";"2017";"30";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P170";"Météorologie";"P170.2";"Valoriser les informations météorologiques et les résultats de la recherche au profit de l'économie et du développement durable";"P170.2.2";"Développement de l'activité de recherche au sein de l'établissement";"Citoyen";"";"Nombre de publications scientifiques par chercheur";"Nombre";"1,5";"1,5";"1,5";"1,5";"1,5";"2017";"1,5";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.1";"Assurer la gestion intégrée de la ressource en eau";"P113.1.1";"Masses d'eau en bon état";"Citoyen";"";"Masses d'eau en bon état écologique";"%";"43,5";"43,6";"43,5";"43,6";"43,6";"2017";"43,5";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.1";"Assurer la gestion intégrée de la ressource en eau";"P113.1.1";"Masses d'eau en bon état";"Citoyen";"";"Bon état sur le paramètre biologique invertébré";"%";"79";"79";"80";"80";"80";"2017";"81";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.1";"Assurer la gestion intégrée de la ressource en eau";"P113.1.1";"Masses d'eau en bon état";"Citoyen";"";"Bon état sur le paramètre ammonium";"%";"93";"97";"94";"97";"97";"2017";"95";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.1";"Assurer la gestion intégrée de la ressource en eau";"P113.1.1";"Masses d'eau en bon état";"Citoyen";"";"Nombre de schémas d'aménagement et de gestion des eaux (SAGE) mis en oeuvre";"Nombre";"90";"101";"115";"115";"109";"2017";"125";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.1";"Assurer la gestion intégrée de la ressource en eau";"P113.1.2";"Préservation de la ressource en eau";"Usager";"";"Pourcentage de l'activité consacrée aux contrôles ramenée à l'activité totale des ETP des services de police de l'eau";"%";"19,3";"19,3";"20";"20";"17,3";"2017";"20";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.2";"Préserver et restaurer la biodiversité";"P113.2.1";"Préservation de la biodiversité ordinaire";"Citoyen";"";"Evolution de l'abondance des oiseaux communs, catégorie des oiseaux inféodés  à certains milieux";"%";"76";"73,8";"77";"71";"70";"2017";"77";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.2";"Préserver et restaurer la biodiversité";"P113.2.1";"Préservation de la biodiversité ordinaire";"Citoyen";"";"Nombre de sites Natura 2000 en phase d'animation";"Nombre";"1323";"1357";"1450";"1450";"1464";"2017";"1600";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.2";"Préserver et restaurer la biodiversité";"P113.2.2";"Effort de protection des espaces naturels terrestres et maritimes";"Citoyen";"";"Pourcentage du territoire métropolitain sous protection forte";"%";"1,34";"1,35";"1,37";"1,37";"1,35";"2017";"1,4";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P113";"Paysages, eau et biodiversité";"P113.2";"Préserver et restaurer la biodiversité";"P113.2.2";"Effort de protection des espaces naturels terrestres et maritimes";"Citoyen";"";"Pourcentage des eaux françaises sous protection";"%";"16,52";"16,52";"17,12";"16,52";"22,36";"2017";"24";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P159";"Information géographique et cartographique";"P159.1";"Elaborer une description du territoire faisant autorité";"P159.1.1";"Couverture du territoire en ortho-images numériques à forte résolution spatiale et temporelle";"Citoyen";"";"Ancienneté maximale des ortho-images";"ans";"4,9";"4,77";"<5";"3,9";"4";"2017";"< 5";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P159";"Information géographique et cartographique";"P159.1";"Elaborer une description du territoire faisant autorité";"P159.1.2";"Couverture du territoire par la représentation cadastrale parcellaire unique (RPCU)";"Citoyen";"";"Pourcentage du territoire couvert par la RPCU";"%";"0";"0,2";"21";"1";"0,2";"2017";"46";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P159";"Information géographique et cartographique";"P159.1";"Elaborer une description du territoire faisant autorité";"P159.1.3";"Précision de l'inventaire forestier statistique";"Citoyen";"";"Marge d'erreur sur l'estimation des prélèvements de bois";"%";"5,6";"5,1";"5";"5";"5,1";"2017";"< 5";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P159";"Information géographique et cartographique";"P159.2";"Accroitre la diffusion et l'usage des données";"P159.2.1";"Financement de l'institut par des ressources propres";"Citoyen";"";"Montant des ressources propres tirées de la mise en place de portails géographiques de l'Etat";"K€";"1171";"1237";"2000";"2500";"1889";"2017";"5000";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P159";"Information géographique et cartographique";"P159.2";"Accroitre la diffusion et l'usage des données";"P159.2.1";"Financement de l'institut par des ressources propres";"Citoyen";"";"Montant des ressources propres tirées de la vente de données au secteur privé";"K€";"4967";"3562";"5450";"4200";"4532";"2017";"6000";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P159";"Information géographique et cartographique";"P159.3";"Créer et valoriser le dispositif des connaissances, des compétences et de l'innovation";"P159.3.1";"Taux de placement à un an des élèves";"Citoyen";"";"Taux de placement à un an des élèves";"%";"96,4";"100";">90";"100";"100";"2017";"> 90";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P159";"Information géographique et cartographique";"P159.3";"Créer et valoriser le dispositif des connaissances, des compétences et de l'innovation";"P159.3.2";"Reconnaissance scientifique de la recherche";"Citoyen";"";"Indice de citation des publications de l'institut";"indice";"1,36";"1,1";"1,2";"1,1";"0,83";"2017";"1,1";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P181";"Prévention des risques";"P181.1";"Limiter l'exposition aux risques technologiques et réduire l'impact des pollutions industrielles et agricoles sur les personnes, les biens et l'environnement";"P181.1.1";"Nombre total pondéré de contrôles des installations classées sur effectif de l'inspection (en ETPT)";"Contribuable";"";"Nombre total pondéré de contrôles des installations classées (IC) sur effectif de l'inspection (en ETPT)";"ratio";"20,3";"21,8";"23,5";"23";"20,5";"2017";"25";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P181";"Prévention des risques";"P181.1";"Limiter l'exposition aux risques technologiques et réduire l'impact des pollutions industrielles et agricoles sur les personnes, les biens et l'environnement";"P181.1.2";"Taux d'approbation des PPRT";"Contribuable";"";"Taux d'approbation des PPRT";"%";"81";"87";"97";"97";"91";"2017";"100";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P181";"Prévention des risques";"P181.2";"Réduire l'impact des déchets et des produits sur les personnes, les biens et l'environnement";"P181.2.1";"Efficacité du fonds déchets";"Contribuable";"";"Efficacité du fonds déchets";"kt/an";"2889";"1650";"2000";"2000";"2294";"2017";"2000";"MIN23";"Écologie, développement durable et énergie"
"Budget général";"Écologie, développement et mobilité durables";"P181";"Prévention des risques";"P181.3";"Réduire la vulnérabilité des personnes, des biens et de l'environnement aux risques naturels majeurs et hydrauliques";"P181.3.1";"Nombre de communes couvertes par un PPR";"Citoyen";"";"Taux cumulé d'approbation des PPRN par rapport aux PPRN prévus.";"%";"83,2";"85,9";"92";"89";"87,7";"2017";"97";"MIN23";"Écologie, développement durable et énergie"
